sigma,bin_center,count
0.1,0.091439415183946533,2
0.1,0.091585940614044667,6
0.1,0.091732466044142802,6
0.1,0.091878991474240936,6
0.1,0.09202551690433907,11
0.1,0.092172042334437204,13
0.1,0.092318567764535338,18
0.1,0.092465093194633472,30
0.1,0.092611618624731607,30
0.1,0.092758144054829741,44
0.1,0.092904669484927875,30
0.1,0.093051194915026009,49
0.1,0.093197720345124143,58
0.1,0.093344245775222277,71
0.1,0.093490771205320411,63
0.1,0.093637296635418546,59
0.1,0.09378382206551668,81
0.1,0.093930347495614814,64
0.1,0.094076872925712948,61
0.1,0.094223398355811082,58
0.1,0.094369923785909216,51
0.1,0.094516449216007351,36
0.1,0.094662974646105485,44
0.1,0.094809500076203619,30
0.1,0.094956025506301753,30
0.1,0.095102550936399887,15
0.1,0.095249076366498021,11
0.1,0.095395601796596155,7
0.1,0.09554212722669429,6
0.1,0.095688652656792424,3
0.1,0.095835178086890558,1
0.1,0.095981703516988692,3
0.1,0.096128228947086826,2
0.1,0.09627475437718496,0
0.1,0.096421279807283095,0
0.1,0.096567805237381229,0
0.1,0.096714330667479363,0
0.1,0.096860856097577497,0
0.1,0.097007381527675631,0
0.1,0.097153906957773765,1
0.5,0.082650052649864215,2
0.5,0.083409903004782203,4
0.5,0.084169753359700192,5
0.5,0.08492960371461818,3
0.5,0.085689454069536169,7
0.5,0.086449304424454157,12
0.5,0.087209154779372146,19
0.5,0.087969005134290134,28
0.5,0.088728855489208123,39
0.5,0.089488705844126111,42
0.5,0.0902485561990441,57
0.5,0.091008406553962088,55
0.5,0.091768256908880076,77
0.5,0.092528107263798065,80
0.5,0.093287957618716053,65
0.5,0.094047807973634042,63
0.5,0.09480765832855203,67
0.5,0.095567508683470019,54
0.5,0.096327359038388007,66
0.5,0.097087209393305996,46
0.5,0.097847059748223984,44
0.5,0.098606910103141973,43
0.5,0.099366760458059961,33
0.5,0.10012661081297795,24
0.5,0.10088646116789594,21
0.5,0.10164631152281393,15
0.5,0.10240616187773192,5
0.5,0.1031660122326499,7
0.5,0.10392586258756789,7
0.5,0.10468571294248588,3
0.5,0.10544556329740387,3
0.5,0.10620541365232186,2
0.5,0.10696526400723985,1
0.5,0.10772511436215783,0
0.5,0.10848496471707582,0
0.5,0.10924481507199381,0
0.5,0.1100046654269118,0
0.5,0.11076451578182979,0
0.5,0.11152436613674778,0
0.5,0.11228421649166577,1
1,0.063905458520205586,1
1,0.065387850663357997,0
1,0.066870242806510408,0
1,0.068352634949662819,0
1,0.06983502709281523,0
1,0.071317419235967641,1
1,0.072799811379120052,3
1,0.074282203522272463,4
1,0.075764595665424874,6
1,0.077246987808577285,2
1,0.078729379951729696,10
1,0.080211772094882107,17
1,0.081694164238034518,21
1,0.083176556381186928,25
1,0.084658948524339339,30
1,0.08614134066749175,38
1,0.087623732810644161,44
1,0.089106124953796572,49
1,0.090588517096948983,64
1,0.092070909240101394,74
1,0.093553301383253805,62
1,0.095035693526406216,70
1,0.096518085669558627,50
1,0.098000477812711038,82
1,0.099482869955863449,47
1,0.10096526209901586,54
1,0.10244765424216827,45
1,0.10393004638532068,49
1,0.10541243852847309,34
1,0.1068948306716255,30
1,0.10837722281477791,18
1,0.10985961495793033,18
1,0.11134200710108274,16
1,0.11282439924423515,7
1,0.11430679138738756,8
1,0.11578918353053997,5
1,0.11727157567369238,10
1,0.11875396781684479,1
1,0.1202363599599972,2
1,0.12171875210314961,3
3.5,0.039974091867634415,2
3.5,0.045199452503023399,7
3.5,0.050424813138412382,1
3.5,0.055650173773801366,8
3.5,0.06087553440919035,10
3.5,0.066100895044579334,17
3.5,0.071326255679968318,23
3.5,0.076551616315357302,36
3.5,0.081776976950746286,34
3.5,0.08700233758613527,45
3.5,0.092227698221524254,52
3.5,0.097453058856913237,51
3.5,0.10267841949230222,66
3.5,0.10790378012769121,64
3.5,0.11312914076308019,75
3.5,0.11835450139846917,76
3.5,0.12357986203385816,52
3.5,0.12880522266924714,50
3.5,0.13403058330463612,61
3.5,0.13925594394002511,38
