sigma,bin_center,count
0.1,0.090942658635269805,1
0.1,0.09108479364733682,2
0.1,0.091226928659403822,0
0.1,0.091369063671470838,1
0.1,0.091511198683537839,4
0.1,0.091653333695604855,3
0.1,0.091795468707671857,6
0.1,0.091937603719738872,7
0.1,0.092079738731805874,10
0.1,0.09222187374387289,15
0.1,0.092364008755939891,27
0.1,0.092506143768006893,32
0.1,0.092648278780073909,38
0.1,0.092790413792140911,42
0.1,0.092932548804207926,40
0.1,0.093074683816274928,57
0.1,0.093216818828341944,54
0.1,0.093358953840408945,69
0.1,0.093501088852475961,49
0.1,0.093643223864542963,69
0.1,0.093785358876609978,70
0.1,0.09392749388867698,61
0.1,0.094069628900743996,58
0.1,0.094211763912810997,49
0.1,0.094353898924878013,46
0.1,0.094496033936945015,44
0.1,0.09463816894901203,29
0.1,0.094780303961079032,25
0.1,0.094922438973146034,19
0.1,0.095064573985213049,14
0.1,0.095206708997280065,18
0.1,0.095348844009347067,14
0.1,0.095490979021414069,5
0.1,0.095633114033481084,6
0.1,0.095775249045548086,5
0.1,0.095917384057615102,4
0.1,0.096059519069682103,4
0.1,0.096201654081749119,1
0.1,0.096343789093816121,1
0.1,0.096485924105883136,1
0.5,0.079951081992814699,1
0.5,0.080666564462445092,0
0.5,0.0813820469320755,0
0.5,0.082097529401705907,2
0.5,0.082813011871336301,0
0.5,0.083528494340966708,1
0.5,0.084243976810597102,6
0.5,0.084959459280227509,9
0.5,0.085674941749857902,14
0.5,0.08639042421948831,16
0.5,0.087105906689118717,12
0.5,0.087821389158749111,17
0.5,0.088536871628379518,20
0.5,0.089252354098009912,36
0.5,0.089967836567640319,40
0.5,0.090683319037270727,55
0.5,0.09139880150690112,54
0.5,0.092114283976531527,55
0.5,0.092829766446161921,64
0.5,0.093545248915792328,79
0.5,0.094260731385422722,54
0.5,0.094976213855053129,50
0.5,0.095691696324683523,61
0.5,0.09640717879431393,71
0.5,0.097122661263944338,49
0.5,0.097838143733574731,45
0.5,0.098553626203205139,40
0.5,0.099269108672835532,41
0.5,0.099984591142465939,29
0.5,0.10070007361209635,21
0.5,0.10141555608172674,16
0.5,0.10213103855135715,9
0.5,0.10284652102098754,11
0.5,0.10356200349061795,10
0.5,0.10427748596024836,2
0.5,0.10499296842987875,5
0.5,0.10570845089950914,0
0.5,0.10642393336913955,1
0.5,0.10713941583876996,2
0.5,0.10785489830840035,2
1,0.072767797674663681,2
1,0.07400132116071706,3
1,0.075234844646770438,2
1,0.076468368132823802,6
1,0.077701891618877181,5
1,0.078935415104930559,10
1,0.080168938590983937,12
1,0.081402462077037302,16
1,0.08263598556309068,18
1,0.083869509049144059,30
1,0.085103032535197437,27
1,0.086336556021250815,37
1,0.087570079507304194,31
1,0.088803602993357558,53
1,0.090037126479410937,35
1,0.091270649965464315,48
1,0.092504173451517693,41
1,0.093737696937571058,67
1,0.094971220423624436,65
1,0.096204743909677815,66
1,0.097438267395731193,53
1,0.098671790881784571,49
1,0.09990531436783795,52
1,0.10113883785389131,54
1,0.10237236133994469,37
1,0.10360588482599807,39
1,0.10483940831205144,29
1,0.10607293179810481,22
1,0.10730645528415819,17
1,0.10853997877021157,18
1,0.10977350225626495,19
1,0.11100702574231833,10
1,0.11224054922837171,3
1,0.11347407271442507,8
1,0.11470759620047845,3
1,0.11594111968653183,6
1,0.11717464317258519,1
1,0.11840816665863857,3
1,0.11964169014469195,1
1,0.12087521363074533,2
3.5,0.041966962398341426,4
3.5,0.047448388688622549,2
3.5,0.052929814978903672,6
3.5,0.058411241269184802,10
3.5,0.063892667559465918,12
3.5,0.069374093849747048,17
3.5,0.074855520140028164,32
3.5,0.080336946430309294,36
3.5,0.085818372720590425,59
3.5,0.091299799010871541,53
3.5,0.096781225301152671,52
3.5,0.1022626515914338,82
3.5,0.10774407788171492,59
3.5,0.11322550417199603,81
3.5,0.11870693046227718,56
3.5,0.12418835675255829,67
3.5,0.12966978304283941,63
3.5,0.13515120933312055,56
3.5,0.14063263562340167,53
3.5,0.14611406191368279,43
3.5,0.15159548820396393,32
3.5,0.15707691449424505,26
3.5,0.16255834078452616,25
3.5,0.16803976707480731,23
3.5,0.17352119336508842,13
3.5,0.17900261965536954,4
3.5,0.18448404594565068,10
3.5,0.1899654722359318,6
3.5,0.19544689852621291,3
3.5,0.20092832481649406,3
3.5,0.20640975110677517,0
3.5,0.21189117739705629,4
3.5,0.21737260368733743,3
3.5,0.22285402997761855,1
3.5,0.22833545626789967,1
3.5,0.23381688255818081,1
3.5,0.23929830884846193,0
3.5,0.24477973513874304,0
3.5,0.25026116142902416,0
3.5,0.2557425877193053,2
10,0.07897584060951475,8
10,0.096858070597829804,13
10,0.11474030058614487,26
10,0.13262253057445994,35
10,0.15050476056277501,35
10,0.16838699055109008,45
10,0.18626922053940514,65
10,0.20415145052772021,57
10,0.22203368051603528,67
10,0.23991591050435035,64
10,0.25779814049266542,65
10,0.27568037048098049,62
10,0.2935626004692955,59
10,0.31144483045761057,53
10,0.32932706044592569,51
10,0.34720929043424076,52
10,0.36509152042255577,34
10,0.38297375041087084,41
10,0.40085598039918591,22
10,0.41873821038750098,29
10,0.43662044037581604,32
10,0.45450267036413111,9
10,0.47238490035244618,13
10,0.49026713034076125,12
10,0.50814936032907632,10
10,0.52603159031739133,4
10,0.54391382030570645,7
10,0.56179605029402147,3
10,0.57967828028233648,6
10,0.5975605102706516,6
10,0.61544274025896661,3
10,0.63332497024728174,3
10,0.65120720023559675,3
10,0.66908943022391187,1
10,0.68697166021222689,3
10,0.70485389020054201,1
10,0.72273612018885702,0
10,0.74061835017717215,0
10,0.75850058016548716,0
10,0.77638281015380228,1
25,0.29440020016776308,3
25,0.37655289165886019,6
25,0.4587055831499573,14
25,0.5408582746410544,24
25,0.62301096613215157,35
25,0.70516365762324873,34
25,0.78731634911434578,52
25,0.86946904060544294,55
25,0.95162173209654,81
25,1.0337744235876372,55
25,1.1159271150787342,68
25,1.1980798065698313,63
25,1.2802324980609285,73
25,1.3623851895520256,57
25,1.4445378810431229,50
25,1.5266905725342199,50
25,1.608843264025317,33
25,1.690995955516414,52
25,1.7731486470075113,25
25,1.8553013384986083,19
25,1.9374540299897054,28
25,2.0196067214808027,22
25,2.1017594129718997,17
25,2.1839121044629968,13
25,2.2660647959540938,17
25,2.3482174874451909,12
25,2.4303701789362879,9
25,2.512522870427385,9
25,2.594675561918482,3
25,2.67682825340958,6
25,2.758980944900677,4
25,2.8411336363917741,2
25,2.9232863278828711,3
25,3.0054390193739682,2
25,3.0875917108650652,0
25,3.1697444023561623,0
25,3.2518970938472593,2
25,3.3340497853383564,1
25,3.4162024768294534,0
25,3.4983551683205505,1
50,1.187988323757174,3
50,1.5411037394956466,10
50,1.8942191552341192,21
50,2.2473345709725918,24
50,2.6004499867110642,42
50,2.953565402449537,58
50,3.3066808181880094,77
50,3.6597962339264818,64
50,4.0129116496649546,85
50,4.3660270654034274,83
50,4.7191424811418994,62
50,5.0722578968803722,65
50,5.425373312618845,55
50,5.778488728357317,70
50,6.1316041440957898,48
50,6.4847195598342626,39
50,6.8378349755727346,33
50,7.1909503913112074,27
50,7.5440658070496802,27
50,7.8971812227881522,19
50,8.2502966385266241,18
50,8.6034120542650978,16
50,8.9565274700035697,6
50,9.3096428857420435,11
50,9.6627583014805154,6
50,10.015873717218987,8
50,10.368989132957459,5
50,10.722104548695931,2
50,11.075219964434407,5
50,11.428335380172879,3
50,11.781450795911351,1
50,12.134566211649823,1
50,12.487681627388294,1
50,12.84079704312677,0
50,13.193912458865242,0
50,13.547027874603714,2
50,13.900143290342186,1
50,14.253258706080658,0
50,14.60637412181913,1
50,14.959489537557605,1
