sigma,bin_center,count
0.1,0.090923482190996736118037561962716326940436563726622,1
0.1,0.09106189583309935610664194993976551298866409708024,1
0.1,0.091200309475201976095246337916814699036891630433859,2
0.1,0.091338723117304596083850725893863885085119163787478,4
0.1,0.091477136759407216072455113870913071133346697141096,5
0.1,0.091615550401509836061059501847962257181574230494715,6
0.1,0.091753964043612456049663889825011443229801763848333,8
0.1,0.091892377685715076038268277802060629278029297201952,8
0.1,0.09203079132781769602687266577910981532625683055557,5
0.1,0.092169204969920316015477053756159001374484363909189,9
0.1,0.092307618612022936004081441733208187422711897262807,17
0.1,0.092446032254125555992685829710257373470939430616426,31
0.1,0.092584445896228175981290217687306559519166963970044,30
0.1,0.092722859538330795969894605664355745567394497323663,35
0.1,0.092861273180433415958498993641404931615622030677281,41
0.1,0.0929996868225360359471033816184541176638495640309,41
0.1,0.093138100464638655935707769595503303712077097384518,58
0.1,0.093276514106741275924312157572552489760304630738137,44
0.1,0.093414927748843895912916545549601675808532164091756,73
0.1,0.093553341390946515901520933526650861856759697445374,62
0.1,0.093691755033049135890125321503700047904987230798993,67
0.1,0.093830168675151755878729709480749233953214764152611,52
0.1,0.09396858231725437586733409745779842000144229750623,64
0.1,0.094106995959356995855938485434847606049669830859848,52
0.1,0.094245409601459615844542873411896792097897364213467,47
0.1,0.094383823243562235833147261388945978146124897567085,43
0.1,0.094522236885664855821751649365995164194352430920704,46
0.1,0.094660650527767475810356037343044350242579964274322,35
0.1,0.094799064169870095798960425320093536290807497627941,23
0.1,0.094937477811972715787564813297142722339035030981559,29
0.1,0.095075891454075335776169201274191908387262564335178,17
0.1,0.095214305096177955764773589251241094435490097688796,7
0.1,0.095352718738280575753377977228290280483717631042415,8
0.1,0.095491132380383195741982365205339466531945164396034,7
0.1,0.095629546022485815730586753182388652580172697749652,8
0.1,0.095767959664588435719191141159437838628400231103271,5
0.1,0.095906373306691055707795529136487024676627764456889,5
0.1,0.096044786948793675696399917113536210724855297810508,3
0.1,0.096183200590896295685004305090585396773082831164126,0
0.1,0.096321614232998915673608693067634582821310364517745,1
0.5,0.081435822271730763911785072642274388691020019683858,1
0.5,0.082170214904636158102643587871419801527251378029389,1
0.5,0.082904607537541552293502103100565214363482736374921,3
0.5,0.083639000170446946484360618329710627199714094720453,6
