k_res,PSD_periodogram,PSD_periodogram_hamm,PSD_mt,k_we,PSD_welch
0,0.0128571343858328407337,0.0126414263775851435125,1.18172821061083554638e-05,0,0.0124183911307503946559
1,0.0116130535133372444802,0.0125238635349186843589,1.18226656005955668452e-05,1,0.0116410652941335256302
2,0.0138342803726936951169,0.0131578775778717242221,1.15106252911556955878e-05,2,0.0124824426332607090728
3,0.00998376543182094459427,0.0116442421583628389517,1.15849806663656497778e-05,3,0.0123097663021154839718
4,0.0116259161946972649537,0.0104479118841950345117,1.18200853583993071838e-05,4,0.0127085784934732311418
5,0.010527107373322776057,0.00987034193822920515127,1.17981751603713812321e-05,5,0.0127020522154246909672
6,0.0133300057625766927629,0.0124970703244788306659,1.16330919525963377641e-05,6,0.0119658307455988761493
7,0.0141868049322950190372,0.0155345265549498346644,1.19822263670378441912e-05,7,0.0128736539386125622703
8,0.0123640466724104398667,0.0151326586069456992711,1.19306189517297248161e-05,8,0.0125592616797808279693
9,0.0113878518138229246401,0.0113090337704736048349,1.2258913061094758903e-05,9,0.0116473084825734817329
10,0.012225487876322113084,0.0115478859808015239662,1.22810472382200419565e-05,10,0.0115775466722690249838
11,0.0116980594765598531407,0.0116777695025292564029,1.19255869392736628157e-05,11,0.0121689076414629862354
12,0.0117131719504838999567,0.0115074378773177568712,1.19130293198902202765e-05,12,0.0122858415557142403483
13,0.0149642598967083355468,0.0131719059726051774674,1.20941038203729030433e-05,13,0.0118813900858509102004
14,0.0114104254842959129201,0.0114692321938830657857,1.22029685880918572984e-05,14,0.0116192641531255772407
15,0.011920988573080150423,0.0124657828561295267232,1.2458609676255995707e-05,15,0.0117133078420745490177
16,0.0114105420956548648824,0.0124915794949598822535,1.26767750767690402943e-05,16,0.012077208461724807174
17,0.0139750658899567057468,0.0123793043856094017051,1.24101899802634245009e-05,17,0.0130241979827975103568
18,0.0125734120859993165239,0.01040239634263396429,1.26611662622714737921e-05,18,0.0122960491919793575464
19,0.0140967154200041024402,0.0123682198164516607516,1.25138251703819892336e-05,19,0.0119878993671905695398
20,0.0135886725145202434103,0.0138940260107836940845,1.22150769278391836239e-05,20,0.012456700745099954168
21,0.0121815948322330282275,0.0128347300974633857825,1.19639760398990896516e-05,21,0.0130848650098708409951
22,0.0109903134597008941245,0.0118295520306526870772,1.19020523225164412712e-05,22,0.0130992722482800159715
23,0.0114026389254612566384,0.0104438682460151210127,1.20541712527517424104e-05,23,0.0117367299775106057418
24,0.0101614464955029886067,0.00892116831209747110957,1.18797799558409191375e-05,24,0.0117570156767101514019
25,0.012092531960228568799,0.0118325438116257197745,1.17981974989563483946e-05,25,0.0123273035692898720699
26,0.0153159484636769482834,0.0144351646154738548916,1.20442676712595636906e-05,26,0.0125497572874877500738
27,0.0116602806972584010817,0.0118415806881592170135,1.22320597651168428256e-05,27,0.0125116734732837487408
28,0.0124295291876330024675,0.0130068073254736761076,1.24143394308026966939e-05,28,0.0126705301494249772317
29,0.0117773541493944112383,0.0129780097468861792943,1.2568150056192323005e-05,29,0.0132811836780073609811
30,0.0120898798912706053309,0.012929667283379017046,1.20469561786797167041e-05,30,0.0333200077055433075883
31,0.0129226694710033819138,0.0136216359368434000444,1.1949529847532873037e-05,31,0.0551323880740190980408
32,0.012592041097610259465,0.013612562758791801205,1.2204993595248687575e-05,32,0.0149710607981075567682
33,0.0124903391329601928916,0.0122826978066144226985,1.20433192273436874555e-05,33,0.0124556135418528027549
34,0.010787185379520881133,0.0104503657081652996131,1.18779346368728722204e-05,34,0.0121381914898683836635
35,0.0131052535487672789291,0.0123626797516174748814,1.17533081562039104733e-05,35,0.0118645211484136390189
36,0.0115671669928308657237,0.0111938086934914444674,1.15591691998467727153e-05,36,0.0124146419757077336485
37,0.0122669690653742632501,0.0102471224847755458885,1.14536838106788539431e-05,37,0.0121966761351053494268
38,0.0109912249944221310749,0.0105880148278981155208,1.15122317798685822518e-05,38,0.0129971412179574564124
39,0.0105768276904470889667,0.0116821500613140065815,1.13646411200788622321e-05,39,0.012731118740313384206
