k_res,PSD_periodogram,PSD_periodogram_hamm,PSD_mt,k_we,PSD_welch
0,0.0108098107918173,0.0121637117947707,0.013283579735748,0,0.0136894790754964
1,0.0157313238736385,0.0135204498733084,0.013265056201552,1,0.0126214673153844
2,0.012601713078828,0.0117759849076675,0.0131288630526922,2,0.0123984294583255
3,0.0125480717159274,0.0120823105632102,0.0129917510204847,3,0.0123702715340841
4,0.011588367011009,0.0121161891641169,0.0128760168517934,4,0.0119215105603333
5,0.0129410070721628,0.0126580620215143,0.0121283364596384,5,0.0115485646536845
6,0.0124142147977416,0.0120744517161179,0.0123870067720078,6,0.0120473579555265
7,0.0108306712852181,0.0116888870859189,0.0124542516345429,7,0.0125190148920057
8,0.0111784090595029,0.0102254432755246,0.0125108676068281,8,0.0126587064205305
9,0.013397735890094,0.0130512009181748,0.0122960977772462,9,0.0125200181891869
10,0.0132060442756138,0.0143549959219301,0.012401862319592,10,0.0118420873141051
11,0.012981770671366,0.0127781645189523,0.0122278263342971,11,0.0117059741026492
12,0.0111578063889366,0.0122978499574659,0.0125506985148733,12,0.0123035264206083
13,0.0128973721630091,0.0130011103760084,0.012376412521388,13,0.0128834380857882
14,0.0107226293418882,0.0119755143285689,0.0122450380904858,14,0.0125307801338256
15,0.0126262559918598,0.0129935851224725,0.0120789796832438,15,0.0126296290656192
16,0.0121065728781074,0.0122506020134396,0.0117950631341077,16,0.0125506746797844
17,0.0116052135803881,0.0115341146361523,0.0116194448730523,17,0.012223295055349
18,0.0132455883494591,0.0120966274830862,0.0119003566403391,18,0.0123737644610515
19,0.0103995550138009,0.00971868344663735,0.0117634647910182,19,0.0120474426503758
20,0.00995651310549418,0.0109047772691724,0.011546211429765,20,0.0128195606725394
21,0.0118911101491767,0.0137832272868247,0.0117279225441653,21,0.0130960723844902
22,0.011962249116179,0.0120478223780919,0.0116788194465866,22,0.0120825815618484
23,0.0117917250709384,0.0121246186438622,0.0119188811253157,23,0.0113428260797368
24,0.011832505735702,0.0133482208270088,0.0120996199356815,24,0.0116570838157272
25,0.0129734095122152,0.013715356300236,0.0120325811211771,25,0.0125715894694945
26,0.0135066679308372,0.013014149854117,0.0121024299532851,26,0.0122530070639466
27,0.0109820124837083,0.0110773628166551,0.0124224858661926,27,0.0122646645606466
28,0.0128839073539461,0.0122314989422422,0.0125624858873437,28,0.012985477781473
29,0.0120231051830228,0.0120677725233432,0.0124512035426286,29,0.0127516879892453
30,0.0137303931237239,0.0122766285645743,0.0125582682212565,30,0.031653100598772
31,0.011724918527328,0.011834084051881,0.0128721906785351,31,0.0528209861704931
32,0.0121713216880816,0.012001541742256,0.0128977232405209,32,0.014344746279392
33,0.0131712707865437,0.0128280689169323,0.0127321060663969,33,0.0123102491846394
34,0.0131448885960312,0.0148564828967093,0.0125535514981696,34,0.0119784630289997
35,0.0139427447223207,0.0146079721404031,0.0125997445258259,35,0.0124182006553214
36,0.0102494360764258,0.0120630377764245,0.012648424572352,36,0.0123806754612251
37,0.0129316364499525,0.0135643695269836,0.0125166720940844,37,0.0126160821591886
38,0.0122817468139005,0.0131706021892605,0.0122320748786314,38,0.0125901282333822
39,0.0125046023060229,0.0121067665634209,0.0119544353179424,39,0.0123643869357171
40,0.0119888944267887,0.0106272277308394,0.0120801819771311,40,0.0126265801666848
41,0.0120858937560497,0.0115253132212287,0.0119020554929662,41,0.0117432800668884
42,0.0112101901673905,0.0117932189940671,0.0116524644442593,42,0.012273863754884
43,0.0120427385953977,0.0114583705593322,0.0115128086440951,43,0.0131480040346527
44,0.0114965514080551,0.010736485052729,0.0115955080410162,44,0.0126885973016757
45,0.0120135588592322,0.0106476019896505,0.0119106878176128,45,0.0114815209299097
46,0.0117906534645587,0.0110614770492175,0.0119666607066184,46,0.0118696412427396
47,0.0121606567368549,0.0115308749288401,0.0120454268184157,47,0.0121524845606411
48,0.0134338358688195,0.0125919488360362,0.012247089349647,48,0.011748904619469
49,0.0113345969730333,0.0116633446582046,0.0125355284827264,49,0.0118982404893882
50,0.0128560534269984,0.0115987542329465,0.0124480211714239,50,0.0121023305908921
51,0.0143502953203384,0.0128207875112968,0.0126613312525707,51,0.0125410184686595
52,0.013012434846804,0.0130836102172289,0.0127891162417635,52,0.0118074162370639
53,0.0112132010150903,0.0125614487131299,0.0125360237837924,53,0.0115458542234648
54,0.0125822903014283,0.013153958098493,0.0126870030578865,54,0.0121805738457518
55,0.0133379514599028,0.0137358438109581,0.0125336974429609,55,0.01198212524893
56,0.0109574693339764,0.0120680454069661,0.0123914538521059,56,0.0117596611142054
