k_res,PSD_periodogram,PSD_periodogram_hamm,PSD_mt,k_we,PSD_welch
0,0.011102212773278732345176677461244703348786089236455,0.01469766984172988437111262354520574695947903352459,0.012329955424850918923391922791173096885869156106149,0,0.012536448834169978793543018603446364059229113202694
1,0.013675096953595238604553696755688346753387918397493,0.014670699659648433788232790022150455874199184648207,0.012703769378801839487096505753503103717091552279531,1,0.01261467416854278299743594687947774349603051204545
2,0.012114173934709585698355193686057140745049309771275,0.012422511260036010828974274202093433767210973475666,0.012806564666851245475011278740421522786314361448084,2,0.012118783619735940519556204625777850387362528447892
3,0.011810378791326498882842596096446469156049374760187,0.011333995455237451380504122801472546491377305894134,0.012389395266992976145152542549637979450517986736356,3,0.011984826673183316948165648072625889265996799210298
4,0.013220792651835650955766655553248745125216601081775,0.012761587925335202727751054425415277817028212779378,0.012417115087348185828796357051401794928986126771114,4,0.012193884345259178801987765875461921831849691307598
5,0.012590593841172487038303608522515908418881735997275,0.01211330361351688040911981775069518025433641556412,0.012191972033418618054048985414195649786986816057574,5,0.012221966761976896041869567049635071195263847046634
6,0.0094003876373191200422713099602023412160178850172088,0.010583475662435378262203393232720595325303790680705,0.012057745302095211558619674631928717772888504100592,6,0.013284897834777473407941331729564231445449001228219
7,0.012324653587819827133764154420726699701305051348754,0.013107631627394460252068854148607351330778859660293,0.012259384697330168525917397784318162751964515726805,7,0.013335401844903117838568550634233833757326326624029
8,0.012551132406447399691424614081268484877540458910516,0.012575773517175666686288001254920090960836996537018,0.011945725426564656846445486611227513952724978350618,8,0.012531167612621428902589342328664885310703846755716
9,0.011824944361750132106035851716450968407201571608311,0.011497994450543784108771382210616139778637139699894,0.011991777185329211279112531693458424635651787022133,9,0.012452852138117381936935806511284091397804188146766
10,0.013680932095609988099949483504602643080261259456165,0.012786207883945749974441529044550877143623178117269,0.012087240368474675582579959923696119991224203918786,10,0.013215781451086254584150662233060178570860792540045
11,0.010376129035919017342282918503829081124933964019874,0.011844412406953064803230028331784039835199349214412,0.012142816536070862587818438414403526528654150443539,11,0.013157361131369719254730638576152257594880932190438
12,0.011162280738693004153010168190418571754207732737996,0.011825152743032381792705033442099406707722745730012,0.012178176406403041220519681541357281306539991508738,12,0.012060872845931606464917816983835817775249743476767
13,0.011607537123366165861448255462728962328355919453315,0.012340304688497021898125926241942134765187721899975,0.012077998657371591130216499146847612876167131292147,13,0.011791772017530934855391564754947138286292601995034
14,0.013555945289331064258504611771895438654400578570858,0.013093750997989538250171293855629067810916939186623,0.01186936269785629605012343931187566595638774710356,14,0.011810165565992679909422705160570052726117823029735
15,0.012862957490253321491475351021765982650890691729728,0.012850397693570644446180479743488218384271451548843,0.011894357697273267855761536851716483292091502172687,15,0.012298439938041674440526720376160418407898989257617
16,0.011754841411328116050878994503620621203676677168914,0.01232788357336717882844290448067668943226927881652,0.011738732552943161727755937775686792149240237189848,16,0.012115254054923326331447698105723467505845321750072
17,0.010899003599932622344267265903023159112628093225794,0.012317726910073331280765690658944039366893528839828,0.011980608732164312660746456980443866832278640036488,17,0.012594726502716740952879680570949891455988854837814
18,0.010784774156924921333800744299886986699021917956998,0.011583691647001844222490798747081314128273857974292,0.011919908345407679383459158105586600330725945338729,18,0.011997815903330703165233031132245856786367837899125
19,0.010458063058923283858340873547082550132358846894931,0.01029935774129367785487075391865628155608103024915,0.012012173279943461278409884196221799057546775202354,19,0.012482831948873985361098198757025676356339874837832
20,0.013455332830595978667991019245980810481455591798294,0.012512928276016278058942119293380289721519684793397,0.012006970308974526080250950267469819073205629576608,20,0.011862238715733332458933752168188711266007619856025
21,0.012358492230198601424264323253316560924375266949937,0.011906531691759006934610471556958857165612416060781,0.012628882361263668693919171300368321786411485163626,21,0.011755457101917232009978648542984352106994128944871
22,0.012446267286186215913131871638880321384590388333891,0.012151771425253691350433729129703086326197548587184,0.012915386482679670903768595483220526197454258721109,22,0.012453007630482534315829579027806628575551255531189
23,0.011776648896196204560105644330164631483626180852298,0.01209526351385072547868204932314723553147419509511,0.013403481269697958840341239627795307571516454052991,23,0.01236168269739252298377504254786842979710270938677
24,0.015426587520819273395595737276980718988284024817403,0.01451605298866471584990033557639740613798841149171,0.013405648044365047031966407560535432312377933174373,24,0.012341526876448837921671224098047098207092555538188
25,0.013251253270212284749722907845580210928204678566544,0.013771978068140633526950882404531502797087521467788,0.013278872996514938552167931492155911981407306094687,25,0.011662493878318980177731856532366688156116941931998
26,0.015046980338331587657160835335562465431280543270987,0.015142233966135055485346627045410809220822468069979,0.0131503994946070894388229521433380480350499348268,26,0.011604846672666454682878500651128898824656244681353
27,0.014041634969015493496988244721129790448799212754238,0.013707944356460332693452939046185148876378328474447,0.013421638708900434415065128575733930224192899264121,27,0.011755274190168808530944075344964716622358926879196
28,0.011778790092094841342248171195752903805953337723622,0.012702637427273181277770888287639544470348874199276,0.01342260995452477611387441142330523588929328379241,28,0.012843609962352358568361352614765611951614884356552
29,0.010390562832479563086003496522047306882541306549683,0.011656413038402905001581495100920270712192865735302,0.012947784017927782957720744780194297381324476857247,29,0.01271908864095196869850181885384714283626068300545
30,0.014158658129971038568631363672653544760748900444014,0.014381369137647826408956572750195644115349650588278,0.012580145716491751742006035689553803244170434741786,30,0.032854270154877431908961006593485438430503188479024
31,0.012635590942040176905529846678420680117227448135964,0.014096238400673108088168807545342462560914131915525,0.012434341032233904713981329576931395394393372758454,31,0.05535195789709547596963769056999729759832452089439
32,0.011295283461206727144768088171890296766974870479316,0.012600049343332394568402597642230528901310793360372,0.012218880572369843973325269086157286525993827451332,32,0.014683226225400477751526458768111373255342791838377
33,0.011891217544767962307216850386878959078273965133121,0.012245463604032287283085549267253197221865643397284,0.012377484657896171073898804922122448567343790313901,33,0.012388282257605963463919060579027754881642221236726
